1024cms.org 1024 CMS 0.7,cpe:/a:1024cms:1024_cms:0.7
Novell eDirectory 8.5.27,cpe:/a:novell:edirectory:8.5.27
Novell eDirectory 8.6.2,cpe:/a:novell:edirectory:8.6.2
Novell eDirectory 8.7,cpe:/a:novell:edirectory:8.7
Novell eDirectory 8.7.1,cpe:/a:novell:edirectory:8.7.1
Novell eDirectory 8.7.1 SU1,cpe:/a:novell:edirectory:8.7.1:sp1
Novell eDirectory 8.7.3,cpe:/a:novell:edirectory:8.7.3
Novell eDirectory 8.7.3.8,cpe:/a:novell:edirectory:8.7.3.8
Novell eDirectory 8.7.3 SP1 for Windows,cpe:/a:novell:edirectory:8.7.3:sp1:windows
Novell eDirectory 8.7.3 SP2 for Windows,cpe:/a:novell:edirectory:8.7.3:sp2:windows
Novell eDirectory 8.7.3 SP3 for Windows,cpe:/a:novell:edirectory:8.7.3:sp3:windows
Novell eDirectory 8.7.3 SP4 for Windows,cpe:/a:novell:edirectory:8.7.3:sp4:windows
Novell eDirectory 8.7.3 SP5 for Windows,cpe:/a:novell:edirectory:8.7.3:sp5:windows
Novell eDirectory 8.7.3 SP6 for Windows,cpe:/a:novell:edirectory:8.7.3:sp6:windows
Novell eDirectory 8.7.3 SP7 for Windows,cpe:/a:novell:edirectory:8.7.3:sp7:windows
Novell eDirectory 8.7.3 SP8 for Windows,cpe:/a:novell:edirectory:8.7.3:sp8:windows
Novell eDirectory 8.7.3 SP9 for Windows,cpe:/a:novell:edirectory:8.7.3:sp9:windows
Novell eDirectory 8.8,cpe:/a:novell:edirectory:8.8
Novell eDirectory 8.8.1,cpe:/a:novell:edirectory:8.8.1
Novell eDirectory 8.8 SP2 for Windows,cpe:/a:novell:edirectory:8.8:sp2:windows
Novell eDirectory Database 85.20,cpe:/a:novell:edirectory:85.20
Novell eDirectory Database 85.24,cpe:/a:novell:edirectory:85.24
Novell eDirectory Database 85.30,cpe:/a:novell:edirectory:85.30
Novell eMFrame,cpe:/a:novell:emframe
Novell eMFrame 1.2.1,cpe:/a:novell:emframe:1.2.1
Novell exteNd Director,cpe:/a:novell:extend_director
Novell exteNd Director 4.1,cpe:/a:novell:extend_director:4.1
Novell Groupwise,cpe:/a:novell:groupwise
Novell Groupwise 5.2,cpe:/a:novell:groupwise:5.2
Novell Groupwise 5.5,cpe:/a:novell:groupwise:5.5
Novell Groupwise 5.57e,cpe:/a:novell:groupwise:5.57e
Novell Groupwise 6.0,cpe:/a:novell:groupwise:6.0
Novell Groupwise 6.0.1 Service Pack 1,cpe:/a:novell:groupwise:6.0.1:sp1
Novell Groupwise 6.5,cpe:/a:novell:groupwise:6.5
Novell Groupwise 6.5.2,cpe:/a:novell:groupwise:6.5.2
Novell Groupwise 6.5.3,cpe:/a:novell:groupwise:6.5.3
Novell Groupwise 6.5.4,cpe:/a:novell:groupwise:6.5.4
Novell Groupwise 6.5.6,cpe:/a:novell:groupwise:6.5.6
Novell Groupwise 6.5.7,cpe:/a:novell:groupwise:6.5.7
Novell Groupwise 6.5 SP1,cpe:/a:novell:groupwise:6.5:sp1
Novell Groupwise 6.5 SP2,cpe:/a:novell:groupwise:6.5:sp2
Novell Groupwise 6.5 SP3,cpe:/a:novell:groupwise:6.5:sp3
Novell Groupwise 6.5 SP4,cpe:/a:novell:groupwise:6.5:sp4
Novell Groupwise 6.5 SP5,cpe:/a:novell:groupwise:6.5:sp5
Novell Groupwise 6.5 SP6,cpe:/a:novell:groupwise:6.5:sp6
Novell Groupwise 7.0,cpe:/a:novell:groupwise:7.0
Novell GroupWise Enhancement Pack,cpe:/a:novell:groupwise_enhancement_pack
Novell GroupWise Messenger,cpe:/a:novell:groupwise_messenger
Novell GroupWise Messenger 1.0.6,cpe:/a:novell:groupwise_messenger:1.0.6
Novell GroupWise Messenger 2.0,cpe:/a:novell:groupwise_messenger:2.0
Novell GroupWise Messenger 2.0.2,cpe:/a:novell:groupwise_messenger:2.0.2
Novell GroupWise WebAccess,cpe:/a:novell:groupwise_webaccess
Novell GroupWise WebAccess 5.5,cpe:/a:novell:groupwise_webaccess:5.5
Novell GroupWise WebAccess 6.5,cpe:/a:novell:groupwise_webaccess:6.5
Novell GroupWise WebAccess 7,cpe:/a:novell:groupwise_webaccess:7
Novell Novell-HTTP-Server,cpe:/a:novell:http_server
Novell iChain,cpe:/a:novell:ichain
Novell iChain 2.1,cpe:/a:novell:ichain:2.1
Novell iChain 2.2,cpe:/a:novell:ichain:2.2
Novell iChain 2.3,cpe:/a:novell:ichain:2.3
Novell Novell Identity Manager,cpe:/a:novell:identity_manager
Novell Novell Identity Manager 3.0.1,cpe:/a:novell:identity_manager:3.0.1
Novell Novell Identity Manager 3.5,cpe:/a:novell:identity_manager:3.5
Novell Novell Identity Manager 3.5.1,cpe:/a:novell:identity_manager:3.5.1
Novell iManager,cpe:/a:novell:imanager
Novell iManager 1.5,cpe:/a:novell:imanager:1.5
Novell iManager 2.0,cpe:/a:novell:imanager:2.0
Novell iManager 2.0.2,cpe:/a:novell:imanager:2.0.2
Novell iManager 2.5,cpe:/a:novell:imanager:2.5
Novell iMonitor,cpe:/a:novell:imonitor
Novell iMonitor 2.4,cpe:/a:novell:imonitor:2.4
Novell Novell Internet Messaging System,cpe:/a:novell:internet_messaging_system
Novell Novell Internet Messaging System 2.6,cpe:/a:novell:internet_messaging_system:2.6
Novell Novell Internet Messaging System 3.0,cpe:/a:novell:internet_messaging_system:3.0
Novell iPrint Client,cpe:/a:novell:iprint
Novell iPrint 4.26,cpe:/a:novell:iprint:4.26
Novell iPrint 4.27,cpe:/a:novell:iprint:4.27
Novell iPrint 4.28,cpe:/a:novell:iprint:4.28
Novell iPrint 4.30,cpe:/a:novell:iprint:4.30
Novell iPrint 4.32,cpe:/a:novell:iprint:4.32
Novell iPrint 4.34,cpe:/a:novell:iprint:4.34
Novell iPrint 4.36,cpe:/a:novell:iprint:4.36
Novell iPrint 4.38,cpe:/a:novell:iprint:4.38
Novell iPrint 5.04,cpe:/a:novell:iprint:5.04
Novell iPrint 5.12,cpe:/a:novell:iprint:5.12
Novell iPrint 5.20b,cpe:/a:novell:iprint:5.20b
Novell iPrint 5.30,cpe:/a:novell:iprint:5.30
Novell iPrint 5.32,cpe:/a:novell:iprint:5.32
Novell iPrint 5.40,cpe:/a:novell:iprint:5.40
Novell iPrint 5.42,cpe:/a:novell:iprint:5.42
Novell iPrint 5.44,cpe:/a:novell:iprint:5.44
Novell iPrint 5.50,cpe:/a:novell:iprint:5.50
Novell iPrint 5.52,cpe:/a:novell:iprint:5.52
Novell iPrint 5.56,cpe:/a:novell:iprint:5.56
Novell iPrint 5.60,cpe:/a:novell:iprint:5.60
Novell iPrint 5.64,cpe:/a:novell:iprint:5.64
Novell iPrint Client 5.68,cpe:/a:novell:iprint:5.68
Novell iPrint Client 5.72,cpe:/a:novell:iprint:5.72
Novell iPrint Client 5.74,cpe:/a:novell:iprint:5.74
Novell iPrint Client 5.78,cpe:/a:novell:iprint:5.78
Novell Mobility Pack 1.1,cpe:/a:novell:mobility_pack:1.1
Novell Mobility Pack 1.1.1,cpe:/a:novell:mobility_pack:1.1.1
Novell Mobility Pack 1.1.2,cpe:/a:novell:mobility_pack:1.1.2
Novell Novell Modular Authentication Service,cpe:/a:novell:modular_authentication_service
Novell Novell Modular Authentication Service 3.1.2,cpe:/a:novell:modular_authentication_service:3.1.2
Novell NetMail,cpe:/a:novell:netmail
Novell NetMail 3.0.1,cpe:/a:novell:netmail:3.0.1
Novell NetMail 3.0.3a,cpe:/a:novell:netmail:3.0.3a
Novell NetMail 3.0.3b,cpe:/a:novell:netmail:3.0.3b
Novell NetMail 3.1,cpe:/a:novell:netmail:3.1
Novell NetMail 3.10,cpe:/a:novell:netmail:3.10
Novell NetMail 3.10a,cpe:/a:novell:netmail:3.10a
Novell NetMail 3.10b,cpe:/a:novell:netmail:3.10b
Novell NetMail 3.10c,cpe:/a:novell:netmail:3.10c
Novell NetMail 3.10d,cpe:/a:novell:netmail:3.10d
Novell NetMail 3.10e,cpe:/a:novell:netmail:3.10e
Novell NetMail 3.10f,cpe:/a:novell:netmail:3.10f
Novell NetMail 3.10h,cpe:/a:novell:netmail:3.10h
Novell NetMail 3.5,cpe:/a:novell:netmail:3.5
Novell NetMail 3.5.2,cpe:/a:novell:netmail:3.5.2
Novell NetMail 3.5.2a,cpe:/a:novell:netmail:3.5.2a
Novell NetMail 3.5.2b,cpe:/a:novell:netmail:3.5.2b
Novell NetMail 3.5.2c,cpe:/a:novell:netmail:3.5.2c
Novell NetMail 3.5.2c1,cpe:/a:novell:netmail:3.5.2c1
Novell NetMail 3.5.2d,cpe:/a:novell:netmail:3.5.2d
Novell NetMail 3.5.2e,cpe:/a:novell:netmail:3.5.2e
Novell NetMail 3.52,cpe:/a:novell:netmail:3.52
Novell NetMail 3.52a,cpe:/a:novell:netmail:3.52a
Novell NetMail 3.52b,cpe:/a:novell:netmail:3.52b
Novell NetMail 3.52c,cpe:/a:novell:netmail:3.52c
Novell NetMail 3.52c1,cpe:/a:novell:netmail:3.52c1
Novell NetMail 3.52d,cpe:/a:novell:netmail:3.52d
Novell NetMail 3.52e,cpe:/a:novell:netmail:3.52e
Novell NetMail XE,cpe:/a:novell:netmail_xe
Novell NetMail XE 3.1,cpe:/a:novell:netmail_xe:3.1
Novell Netware Client,cpe:/a:novell:netware_client
Novell Netware Client 4.80,cpe:/a:novell:netware_client:4.80
Novell Netware Client 4.81,cpe:/a:novell:netware_client:4.81
Novell Netware Client 4.82,cpe:/a:novell:netware_client:4.82
Novell Netware Client 4.83,cpe:/a:novell:netware_client:4.83
Novell Netware Client 4.91,cpe:/a:novell:netware_client:4.91
Novell Netware Client 4.91 SP1,cpe:/a:novell:netware_client:4.91:sp1
Novell Netware Client 4.91 SP2,cpe:/a:novell:netware_client:4.91:sp2
Novell Netware Client 4.91 SP4,cpe:/a:novell:netware_client:4.91:sp4
Novell Netware Enterprise Web Server,cpe:/a:novell:netware_enterprise_web_server
Novell Netware FTP Server,cpe:/a:novell:netware_ftp_server
Novell Netware NWFTPD 5.06.05,cpe:/a:novell:netware_ftp_server:5.06.05
Novell Netware FTP Server 5.07,cpe:/a:novell:netware_ftp_server:5.07
Novell Nsure Audit,cpe:/a:novell:nsure_audit
Novell Nsure Audit 1.0.1,cpe:/a:novell:nsure_audit:1.0.1
Novell Open Enterprise Server,cpe:/a:novell:open_enterprise_server
Novell Open Enterprise Server 1,cpe:/a:novell:open_enterprise_server:1
Novell Open Enterprise Server 1.x,cpe:/a:novell:open_enterprise_server:1.x
Novell Open Enterprise Server 2,cpe:/a:novell:open_enterprise_server:2
Novell Open Enterprise Server (OES2) 2.0.1 Support Pack 1,cpe:/a:novell:open_enterprise_server:2.0.1:sp1
Novell Open Enterprise Server (OES2) 2.0.2 Support Pack 2,cpe:/a:novell:open_enterprise_server:2.0.2:sp2
Novell Open Enterprise Server (OES2) 2.0.3 Support Pack 3,cpe:/a:novell:open_enterprise_server:2.0.3:sp3
Novell openSUSE Build Service 1.0,cpe:/a:novell:opensuse_build_service:1.0
Novell openSUSE Build Service 1.5,cpe:/a:novell:opensuse_build_service:1.5
Novell openSUSE Build Service 1.6,cpe:/a:novell:opensuse_build_service:1.6
Novell openSUSE Build Service 1.7,cpe:/a:novell:opensuse_build_service:1.7
Novell openSUSE Build Service 1.7.0,cpe:/a:novell:opensuse_build_service:1.7.0
Novell openSUSE Build Service 1.7.2,cpe:/a:novell:opensuse_build_service:1.7.2
Novell openSUSE Build Service 1.7.3,cpe:/a:novell:opensuse_build_service:1.7.3
Novell openSUSE Build Service 1.7.4,cpe:/a:novell:opensuse_build_service:1.7.4
Novell openSUSE Build Service 1.7.5,cpe:/a:novell:opensuse_build_service:1.7.5
Novell openSUSE Build Service 1.7.6,cpe:/a:novell:opensuse_build_service:1.7.6
Novell openSUSE Build Service 1.7.7,cpe:/a:novell:opensuse_build_service:1.7.7
Novell openSUSE Build Service 1.8,cpe:/a:novell:opensuse_build_service:1.8
Novell openSUSE Build Service 1.9.90,cpe:/a:novell:opensuse_build_service:1.9.90
Novell openSUSE Build Service 1.9.91,cpe:/a:novell:opensuse_build_service:1.9.91
Novell openSUSE Build Service 1.9.92,cpe:/a:novell:opensuse_build_service:1.9.92
Novell openSUSE Build Service 2.0,cpe:/a:novell:opensuse_build_service:2.0
Novell openSUSE Build Service 2.0.0,cpe:/a:novell:opensuse_build_service:2.0.0
Novell openSUSE Build Service 2.0.1,cpe:/a:novell:opensuse_build_service:2.0.1
Novell openSUSE Build Service 2.0.103,cpe:/a:novell:opensuse_build_service:2.0.103
Novell openSUSE Build Service 2.0.104,cpe:/a:novell:opensuse_build_service:2.0.104
Novell openSUSE Build Service 2.0.106,cpe:/a:novell:opensuse_build_service:2.0.106
Novell openSUSE Build Service 2.0.16,cpe:/a:novell:opensuse_build_service:2.0.16
Novell openSUSE Build Service 2.0.2,cpe:/a:novell:opensuse_build_service:2.0.2
Novell openSUSE Build Service 2.0.3,cpe:/a:novell:opensuse_build_service:2.0.3
Novell openSUSE Build Service 2.0.4,cpe:/a:novell:opensuse_build_service:2.0.4
Novell openSUSE Build Service 2.0.5,cpe:/a:novell:opensuse_build_service:2.0.5
Novell openSUSE Build Service 2.0.6,cpe:/a:novell:opensuse_build_service:2.0.6
Novell openSUSE Build Service 2.0.7,cpe:/a:novell:opensuse_build_service:2.0.7
Novell openSUSE Build Service 2.0.8,cpe:/a:novell:opensuse_build_service:2.0.8
Novell openSUSE Build Service 2.1,cpe:/a:novell:opensuse_build_service:2.1
Novell openSUSE Build Service 2.1.0,cpe:/a:novell:opensuse_build_service:2.1.0
Novell openSUSE Build Service 2.1.1,cpe:/a:novell:opensuse_build_service:2.1.1
Novell openSUSE Build Service 2.1.2,cpe:/a:novell:opensuse_build_service:2.1.2
Novell openSUSE Build Service 2.1.3,cpe:/a:novell:opensuse_build_service:2.1.3
Novell openSUSE Build Service 2.1.4,cpe:/a:novell:opensuse_build_service:2.1.4
Novell openSUSE Build Service 2.1.5,cpe:/a:novell:opensuse_build_service:2.1.5
Novell openSUSE Build Service 2.1.5.1,cpe:/a:novell:opensuse_build_service:2.1.5.1
Novell openSUSE Build Service 2.1.6,cpe:/a:novell:opensuse_build_service:2.1.6
Novell openSUSE Build Service 2.1.7,cpe:/a:novell:opensuse_build_service:2.1.7
Novell OpenSUSE SWAMP,cpe:/a:novell:opensuse_swamp
Novell OpenSUSE SWAMP Workflow Administration_Management,cpe:/a:novell:opensuse_swamp_workflow_administration_management
Novell Novell SecureLogin,cpe:/a:novell:securelogin
Novell Novell SecureLogin 6 SP1 Patch 6.0.105,cpe:/a:novell:securelogin:6:sp1
Novell Small Business Suite,cpe:/a:novell:small_business_suite
Novell Small Business Suite 5.1,cpe:/a:novell:small_business_suite:5.1
Novell Small Business Suite 6.0,cpe:/a:novell:small_business_suite:6.0
Novell Web Search,cpe:/a:novell:web_search
Novell Novell Web Server,cpe:/a:novell:web_server
Novell Novell Web Server 1.0,cpe:/a:novell:web_server:1.0
Novell Web Server Examples Toolkit,cpe:/a:novell:web_server_examples_toolkit
Novell ZENworks,cpe:/a:novell:zenworks
Novell ZENworks 6.2,cpe:/a:novell:zenworks:6.2
Novell ZENworks 6.2 SR1,cpe:/a:novell:zenworks:6.2:sr1
Novell ZENworks Desktop Management 6.5,cpe:/a:novell:zenworks:6.5
Novell ZENworks 7,cpe:/a:novell:zenworks:7
Novell ZENworks 7 Support Pack 1,cpe:/a:novell:zenworks:7:sp1
Novell ZENworks Asset Management,cpe:/a:novell:zenworks_asset_management
Novell ZENworks Asset Management 7 SP1,cpe:/a:novell:zenworks_asset_management:7:sp1
Novell ZENworks Configuration Management 10.3,cpe:/a:novell:zenworks_configuration_management:10.3
Novell ZENworks Configuration Management 10.3.1,cpe:/a:novell:zenworks_configuration_management:10.3.1
Novell ZENworks Configuration Management 10.3.2,cpe:/a:novell:zenworks_configuration_management:10.3.2
Novell ZENworks Configuration Management 10.3.3,cpe:/a:novell:zenworks_configuration_management:10.3.3
Novell ZENworks Configuration Management 11,cpe:/a:novell:zenworks_configuration_management:11
Novell ZENworks Desktop Management,cpe:/a:novell:zenworks_desktop_management
Novell ZENworks Desktop Management:6.5,cpe:/a:novell:zenworks_desktop_management:6.5
Novell ZENworks for Desktops,cpe:/a:novell:zenworks_desktops
Novell ZENworks for Desktops 3.2 SP2,cpe:/a:novell:zenworks_desktops:3.2:sp2
Novell ZENworks for Desktops 4.0,cpe:/a:novell:zenworks_desktops:4.0
Novell ZENworks for Desktops 4.0.1,cpe:/a:novell:zenworks_desktops:4.0.1
Novell ZENworks Endpoint Security Management,cpe:/a:novell:zenworks_endpoint_security_management
Novell ZENworks Endpoint Security Management 3.5,cpe:/a:novell:zenworks_endpoint_security_management:3.5
Novell ZENworks Endpoint Security Management 3.5.0.20,cpe:/a:novell:zenworks_endpoint_security_management:3.5.0.20
Novell ZENworks Endpoint Security Management 3.5.0.82,cpe:/a:novell:zenworks_endpoint_security_management:3.5.0.82
Novell ZENworks Handheld Management (ZHM) 7,cpe:/a:novell:zenworks_handheld_management:7
Novell ZENworks Handheld Management (ZHM) 7 Service Pack 1,cpe:/a:novell:zenworks_handheld_management:7:sp1
Novell ZENworks Patch Management Server,cpe:/a:novell:zenworks_patch_management_server
Novell ZENworks Patch Management Server 6.0.0.52,cpe:/a:novell:zenworks_patch_management_server:6.0.0.52
Novell ZENworks Patch Management Server 6.3.2.700,cpe:/a:novell:zenworks_patch_management_server:6.3.2.700
Novell ZENworks Remote Management,cpe:/a:novell:zenworks_remote_management
Novell ZENworks Server Management,cpe:/a:novell:zenworks_server_management
Novell ZENworks Server Management 6.5,cpe:/a:novell:zenworks_server_management:6.5
Novell ZENworks for Servers,cpe:/a:novell:zenworks_servers
Novell ZENworks for Servers 3.0.2,cpe:/a:novell:zenworks_servers:3.0.2
Novell ZENworks for Servers 3.2,cpe:/a:novell:zenworks_servers:3.2
CleverEye CleverEye,cpe:/a:nrgglobal:clevereye
nsoftware Unitronics UniOPC 1.3.8,cpe:/a:nsoftware:unitronics_uniopc:1.3.8
nsoftware Unitronics UniOPC 2.0.0,cpe:/a:nsoftware:unitronics_uniopc:2.0.0
NTT DOCOMO sp mode mail for Android 2546,cpe:/a:nttdocomo:spmode_mail_android:2546
NTT DOCOMO sp mode mail for Android 2631,cpe:/a:nttdocomo:spmode_mail_android:2631
NTT DOCOMO sp mode mail for Android 3000,cpe:/a:nttdocomo:spmode_mail_android:3000
NTT DOCOMO sp mode mail for Android 3100,cpe:/a:nttdocomo:spmode_mail_android:3100
NTT DOCOMO sp mode mail for Android 3200,cpe:/a:nttdocomo:spmode_mail_android:3200
NTT DOCOMO sp mode mail for Android 3300,cpe:/a:nttdocomo:spmode_mail_android:3300
NTT DOCOMO sp mode mail for Android 3400,cpe:/a:nttdocomo:spmode_mail_android:3400
NTT DOCOMO sp mode mail for Android 4000,cpe:/a:nttdocomo:spmode_mail_android:4000
NTT DOCOMO sp mode mail for Android 4200,cpe:/a:nttdocomo:spmode_mail_android:4200
NTT DOCOMO sp mode mail for Android 4300,cpe:/a:nttdocomo:spmode_mail_android:4300
NTT DOCOMO sp mode mail for Android 4400,cpe:/a:nttdocomo:spmode_mail_android:4400
NTT DOCOMO sp mode mail for Android 4500,cpe:/a:nttdocomo:spmode_mail_android:4500
NTT DOCOMO sp mode mail for Android 4600,cpe:/a:nttdocomo:spmode_mail_android:4600
NTT DOCOMO sp mode mail for Android 4700,cpe:/a:nttdocomo:spmode_mail_android:4700
NTT DOCOMO sp mode mail for Android 4800,cpe:/a:nttdocomo:spmode_mail_android:4800
NTT DOCOMO sp mode mail for Android 4900,cpe:/a:nttdocomo:spmode_mail_android:4900
NTT DOCOMO sp mode mail for Android 5000,cpe:/a:nttdocomo:spmode_mail_android:5000
NTT DOCOMO sp mode mail for Android 5100,cpe:/a:nttdocomo:spmode_mail_android:5100
NTT DOCOMO sp mode mail for Android 5200,cpe:/a:nttdocomo:spmode_mail_android:5200
NTT DOCOMO sp mode mail for Android 5300,cpe:/a:nttdocomo:spmode_mail_android:5300
NTT DOCOMO sp mode mail for Android 5400,cpe:/a:nttdocomo:spmode_mail_android:5400
NTT DOCOMO sp mode mail for Android 5500,cpe:/a:nttdocomo:spmode_mail_android:5500
NTT DOCOMO sp mode mail for Android 5550,cpe:/a:nttdocomo:spmode_mail_android:5550
Nuance OmniPage (initial release),cpe:/a:nuance:omnipage:-
Nuance OmniPage Pro 12,cpe:/a:nuance:omnipage:12::pro
Nuance OmniPage Pro 17,cpe:/a:nuance:omnipage:17::pro
Nuance OmniPage Pro 18,cpe:/a:nuance:omnipage:18::pro
Nullsoft Winamp 0.20a,cpe:/a:nullsoft:winamp:0.20a
Nullsoft Winamp 0.92,cpe:/a:nullsoft:winamp:0.92
Nullsoft Winamp 1.006,cpe:/a:nullsoft:winamp:1.006
Nullsoft Winamp 1.90,cpe:/a:nullsoft:winamp:1.90
Nullsoft Winamp 2.0,cpe:/a:nullsoft:winamp:2.0
Nullsoft Winamp 2.10,cpe:/a:nullsoft:winamp:2.10
Nullsoft Winamp 2.6,cpe:/a:nullsoft:winamp:2.6
Nullsoft Winamp 2.9,cpe:/a:nullsoft:winamp:2.9
Nullsoft Winamp 2.91,cpe:/a:nullsoft:winamp:2.91
Nullsoft Winamp 2.92,cpe:/a:nullsoft:winamp:2.92
Nullsoft Winamp 2.95,cpe:/a:nullsoft:winamp:2.95
Nullsoft Winamp 5.0,cpe:/a:nullsoft:winamp:5.0
Nullsoft Winamp 5.01,cpe:/a:nullsoft:winamp:5.01
Nullsoft Winamp 5.02,cpe:/a:nullsoft:winamp:5.02
Nullsoft Winamp 5.03,cpe:/a:nullsoft:winamp:5.03
Nullsoft Winamp 5.04,cpe:/a:nullsoft:winamp:5.04
Nullsoft Winamp 5.05,cpe:/a:nullsoft:winamp:5.05
Nullsoft Winamp 5.06,cpe:/a:nullsoft:winamp:5.06
Nullsoft Winamp 5.07,cpe:/a:nullsoft:winamp:5.07
Nullsoft Winamp 5.08c,cpe:/a:nullsoft:winamp:5.08c
Nullsoft Winamp 5.08d,cpe:/a:nullsoft:winamp:5.08d
Nullsoft Winamp 5.08e,cpe:/a:nullsoft:winamp:5.08e
Nullsoft Winamp 5.09,cpe:/a:nullsoft:winamp:5.09
Nullsoft Winamp 5.091,cpe:/a:nullsoft:winamp:5.091
Nullsoft Winamp 5.093,cpe:/a:nullsoft:winamp:5.093
Nullsoft Winamp 5.094,cpe:/a:nullsoft:winamp:5.094
Nullsoft Winamp 5.1 Surround Edition,cpe:/a:nullsoft:winamp:5.1:-:surround
Nullsoft Winamp 5.11,cpe:/a:nullsoft:winamp:5.11
Nullsoft Winamp 5.111,cpe:/a:nullsoft:winamp:5.111
Nullsoft Winamp 5.112,cpe:/a:nullsoft:winamp:5.112
Nullsoft Winamp 5.12,cpe:/a:nullsoft:winamp:5.12
Nullsoft Winamp 5.13,cpe:/a:nullsoft:winamp:5.13
Nullsoft Winamp 5.2,cpe:/a:nullsoft:winamp:5.2
Nullsoft Winamp 5.21,cpe:/a:nullsoft:winamp:5.21
Nullsoft Winamp 5.22,cpe:/a:nullsoft:winamp:5.22
Nullsoft Winamp 5.23,cpe:/a:nullsoft:winamp:5.23
Nullsoft Winamp 5.24,cpe:/a:nullsoft:winamp:5.24
Nullsoft Winamp 5.3,cpe:/a:nullsoft:winamp:5.3
Nullsoft Winamp 5.31,cpe:/a:nullsoft:winamp:5.31
Nullsoft Winamp 5.32,cpe:/a:nullsoft:winamp:5.32
Nullsoft Winamp 5.33,cpe:/a:nullsoft:winamp:5.33
Nullsoft Winamp 5.34,cpe:/a:nullsoft:winamp:5.34
Nullsoft Winamp 5.35,cpe:/a:nullsoft:winamp:5.35
Nullsoft Winamp 5.5,cpe:/a:nullsoft:winamp:5.5
Nullsoft Winamp 5.51,cpe:/a:nullsoft:winamp:5.51
Nullsoft Winamp 5.52,cpe:/a:nullsoft:winamp:5.52
Nullsoft Winamp 5.53,cpe:/a:nullsoft:winamp:5.53
Nullsoft Winamp 5.531,cpe:/a:nullsoft:winamp:5.531
Nullsoft Winamp 5.54,cpe:/a:nullsoft:winamp:5.54
Nullsoft Winamp 5.541,cpe:/a:nullsoft:winamp:5.541
Nullsoft Winamp 5.55,cpe:/a:nullsoft:winamp:5.55
Nullsoft Winamp 5.551,cpe:/a:nullsoft:winamp:5.551
Nullsoft Winamp 5.552,cpe:/a:nullsoft:winamp:5.552
Nullsoft Winamp 5.56,cpe:/a:nullsoft:winamp:5.56
Nullsoft Winamp 5.572,cpe:/a:nullsoft:winamp:5.572
Nullsoft Winamp 5.58,cpe:/a:nullsoft:winamp:5.58
Nullsoft Winamp 5.581,cpe:/a:nullsoft:winamp:5.581
o-dyn Collabtive 0.1,cpe:/a:o-dyn:collabtive:0.1
o-dyn Collabtive 0.2,cpe:/a:o-dyn:collabtive:0.2
o-dyn Collabtive 0.2.5,cpe:/a:o-dyn:collabtive:0.2.5
o-dyn Collabtive 0.3,cpe:/a:o-dyn:collabtive:0.3
o-dyn Collabtive 0.3.5,cpe:/a:o-dyn:collabtive:0.3.5
o-dyn Collabtive 0.3.6,cpe:/a:o-dyn:collabtive:0.3.6
o-dyn Collabtive 0.4,cpe:/a:o-dyn:collabtive:0.4
o-dyn Collabtive 0.4.5,cpe:/a:o-dyn:collabtive:0.4.5
o-dyn Collabtive 0.4.6,cpe:/a:o-dyn:collabtive:0.4.6
o-dyn Collabtive 0.4.7,cpe:/a:o-dyn:collabtive:0.4.7
o-dyn Collabtive 0.4.8,cpe:/a:o-dyn:collabtive:0.4.8
o-dyn Collabtive 0.4.9,cpe:/a:o-dyn:collabtive:0.4.9
o-dyn Collabtive 0.4.9.1,cpe:/a:o-dyn:collabtive:0.4.9.1
o-dyn Collabtive 0.5.1,cpe:/a:o-dyn:collabtive:0.5.1
o-dyn Collabtive 0.5.5,cpe:/a:o-dyn:collabtive:0.5.5
o-dyn Collabtive 0.6,cpe:/a:o-dyn:collabtive:0.6
o-dyn Collabtive 0.6.1,cpe:/a:o-dyn:collabtive:0.6.1
o-dyn Collabtive 0.6.2,cpe:/a:o-dyn:collabtive:0.6.2
o-dyn Collabtive 0.6.3,cpe:/a:o-dyn:collabtive:0.6.3
o-dyn Collabtive 0.6.4,cpe:/a:o-dyn:collabtive:0.6.4
o-dyn Collabtive 0.6.5,cpe:/a:o-dyn:collabtive:0.6.5
XF-section 1.12a : XOOPS Section Module,cpe:/a:ohwada:xf-section:1.12a
Omni Group OmniWeb 5.1 563.34,cpe:/a:omnigroup:omniweb:5.1:563.34
Linux Omnikey Cardman,cpe:/a:omnikey.aaitg:omnikey_cardman
Linux Omnikey Cardman 4040,cpe:/a:omnikey.aaitg:omnikey_cardman_4040
omnistaretools OmniStar Recruiting,cpe:/a:omnistaretools:omnistar_recruiting
Open Classifieds 1.7.0.2,cpe:/a:open-classifieds:open_classifieds:1.7.0.2
OpenBSD ftpd,cpe:/a:openbsd:ftpd
OpenBSD ftpd 5.51,cpe:/a:openbsd:ftpd:5.51
OpenBSD ftpd 5.60,cpe:/a:openbsd:ftpd:5.60
OpenBSD OpenSSH,cpe:/a:openbsd:openssh
OpenBSD OpenSSH 1.2,cpe:/a:openbsd:openssh:1.2
OpenBSD OpenSSH 1.2.1,cpe:/a:openbsd:openssh:1.2.1
OpenBSD OpenSSH 1.2.2,cpe:/a:openbsd:openssh:1.2.2
OpenBSD OpenSSH 1.2.27,cpe:/a:openbsd:openssh:1.2.27
OpenBSD OpenSSH 1.2.3,cpe:/a:openbsd:openssh:1.2.3
OpenBSD OpenSSH 1.3,cpe:/a:openbsd:openssh:1.3
